,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,1,US,1586654195,48,42.1,-79.24,42.01,3.36
1,Kalianget,44,ID,1586654371,76,-7.05,113.93,80.87,3.29
2,Uvat,1,RU,1586654372,90,59.14,68.9,33.8,4.63
3,Atuona,38,PF,1586654271,64,-9.8,-139.03,82.67,5.21
4,Busselton,92,AU,1586654244,59,-33.65,115.33,73.99,9.22
5,Punta Arenas,75,CL,1586654295,81,-53.15,-70.92,42.8,10.29
6,Rikitea,49,PF,1586654286,73,-23.12,-134.97,78.06,4.88
7,Leningradskiy,74,RU,1586654379,86,69.38,178.42,17.37,2.91
8,Solwezi,70,ZM,1586654380,66,-12.17,26.39,60.71,4.12
9,New Norfolk,75,AU,1586654381,58,-42.78,147.06,59.0,14.99
10,San Jose,20,US,1586654225,67,37.34,-121.89,64.99,11.41
11,Castro,15,BR,1586654329,72,-24.79,-50.01,56.14,4.54
12,Bowen,83,AU,1586654385,48,-20.02,148.23,88.0,6.93
13,Saint George,1,US,1586654386,32,37.1,-113.58,68.0,13.87
14,Ulladulla,0,AU,1586654388,32,-35.35,150.47,66.2,5.82
15,Upernavik,100,GL,1586654389,88,72.79,-56.15,19.87,1.63
16,Hermanus,100,ZA,1586654254,93,-34.42,19.23,63.0,18.01
17,Nikolskoye,1,RU,1586654391,100,59.7,30.79,24.8,3.0
18,Severo-Kuril'sk,64,RU,1586654307,93,50.68,156.12,30.72,7.4
19,Lebu,0,CL,1586654394,70,-37.62,-73.65,53.4,15.01
20,Hithadhoo,15,MV,1586654256,69,-0.6,73.08,84.31,9.22
21,Katsuura,75,JP,1586654263,81,35.13,140.3,59.0,11.41
22,Mataura,93,NZ,1586654398,56,-46.19,168.86,62.96,10.04
23,Guerrero Negro,3,MX,1586654339,61,27.98,-114.06,64.11,20.54
24,Ilo,10,PE,1586654400,77,-17.64,-71.34,71.62,4.56
25,Yar-Sale,35,RU,1586654401,91,66.83,70.83,9.07,6.15
26,Matara,11,LK,1586654403,88,5.95,80.54,76.44,4.18
27,Tiksi,59,RU,1586654404,91,71.69,128.87,7.72,17.87
28,São José da Coroa Grande,6,BR,1586654335,78,-8.9,-35.15,80.96,8.37
29,Huarmey,17,PE,1586654407,73,-10.07,-78.15,74.59,8.16
30,Karabulak,100,RU,1586654408,93,43.3,44.9,44.6,6.71
31,Qaanaaq,100,GL,1586654409,73,77.48,-69.36,11.53,2.62
32,Kavieng,86,PG,1586654224,71,-2.57,150.8,83.71,0.76
33,Cidreira,6,BR,1586654412,69,-30.18,-50.21,65.61,5.23
34,Barcelos,82,PT,1586654413,100,41.54,-8.62,53.01,4.76
35,Tuktoyaktuk,20,CA,1586654414,84,69.45,-133.04,6.8,10.29
36,Kapaa,90,US,1586654334,73,22.08,-159.32,78.8,17.22
37,Barrow,90,US,1586654182,86,71.29,-156.79,26.6,18.34
38,Trelew,0,AR,1586654418,38,-43.25,-65.31,54.64,4.81
39,Banda Aceh,14,ID,1586654337,79,5.56,95.32,80.15,2.28
40,Genhe,5,CN,1586654421,34,50.78,121.52,48.83,2.06
41,Kudahuvadhoo,2,MV,1586654422,65,2.67,72.89,84.18,4.68
42,Vanavara,0,RU,1586654424,90,60.34,102.28,30.11,2.26
43,Kjøllefjord,93,NO,1586654372,94,70.95,27.35,25.74,8.77
44,Antalaha,17,MG,1586654426,84,-14.9,50.28,76.33,12.57
45,Yumen,100,CN,1586654360,23,40.28,97.2,45.59,5.64
46,Deputatsky,79,RU,1586654367,92,69.3,139.9,24.87,14.14
47,Goes,0,NL,1586654430,66,51.5,3.89,55.4,4.7
48,Kaduqli,32,SD,1586654431,11,11.02,29.72,84.31,17.36
49,Ushuaia,40,AR,1586654301,75,-54.8,-68.3,41.0,20.8
50,Mayumba,98,GA,1586654434,87,-3.43,10.66,78.44,11.95
51,Chumikan,36,RU,1586654435,67,54.72,135.31,41.22,7.81
52,Qiongshan,90,CN,1586654436,83,20.01,110.35,69.8,20.13
53,Vaini,20,TO,1586654438,65,-21.2,-175.2,80.6,6.93
54,Nouadhibou,0,MR,1586654439,68,20.93,-17.03,68.0,20.8
55,Kachīry,52,KZ,1586654440,62,53.07,76.1,41.85,6.87
56,Khatanga,72,RU,1586654373,94,71.97,102.5,7.93,8.16
57,Karatuzskoye,0,RU,1586654442,78,53.61,92.87,33.42,2.13
58,Albany,1,US,1586654298,38,42.6,-73.97,42.8,9.17
59,Santa Cruz de la Sierra,0,BO,1586654446,68,-17.8,-63.17,69.8,4.7
60,Vaitape,56,PF,1586654447,76,-16.52,-151.75,83.48,14.14
61,Sitka,20,US,1586654335,49,57.05,-135.33,46.4,4.7
62,Pueblo Bello,98,CO,1586654450,87,8.2,-76.53,78.04,3.27
63,Nantucket,20,US,1586654451,70,41.28,-70.1,46.4,11.41
64,Karpathos,0,GR,1586654452,87,35.51,27.21,59.0,11.41
65,Vallenar,97,CL,1586654455,60,-28.57,-70.76,60.57,0.76
66,Port Alfred,40,ZA,1586654298,78,-33.59,26.89,68.0,3.0
67,Hilo,40,US,1586654458,65,19.73,-155.09,82.4,4.16
68,Avarua,96,CK,1586654253,89,-21.21,-159.78,84.2,5.82
69,Bethel,1,US,1586654461,48,41.37,-73.41,48.99,6.78
70,Langxiang,0,CN,1586654462,41,46.95,128.88,49.06,2.84
71,Buraidah,0,SA,1586654262,45,26.33,43.98,64.4,18.34
72,Hare Bay,75,CA,1586654465,80,48.85,-54.01,33.8,16.11
73,Bodden Town,20,KY,1586654398,79,19.28,-81.25,84.2,4.7
74,Zeya,5,RU,1586654467,60,53.75,127.27,43.66,3.69
75,Kruisfontein,96,ZA,1586654468,53,-34.0,24.73,61.29,7.02
76,Bengkulu,72,ID,1586654318,81,-3.8,102.27,79.36,5.48
77,Isangel,20,VU,1586654471,66,-19.55,169.27,84.2,3.36
78,Champerico,59,GT,1586654472,65,14.3,-91.92,84.72,0.78
79,Lahān,71,NP,1586654272,28,26.73,86.5,73.67,4.74
80,Sulangan,23,PH,1586654387,74,11.14,123.72,81.34,6.6
81,Puerto Ayora,75,EC,1586654478,74,-0.74,-90.35,82.4,11.41
82,Codrington,95,AU,1586654479,62,-38.27,141.97,55.71,9.84
83,Bluff,85,NZ,1586654481,59,-46.6,168.33,61.23,13.09
84,Port Elizabeth,78,ZA,1586654448,52,-33.92,25.57,66.2,5.82
85,Touros,20,BR,1586654355,88,-5.2,-35.46,78.8,3.36
86,Iracoubo,100,GF,1586654485,78,5.48,-53.2,79.12,11.54
87,Hereford,0,GB,1586654486,87,52.06,-2.71,53.01,0.89
88,Kupang,75,ID,1586654490,70,-10.17,123.58,84.2,3.36
89,Salalah,40,OM,1586654287,78,17.02,54.09,80.6,11.41
90,Acapulco de Juárez,40,MX,1586654492,78,16.86,-99.89,80.6,9.17
91,Saint Paul Harbor,90,US,1586654493,80,57.79,-152.41,39.2,17.22
92,Swellendam,100,ZA,1586654495,68,-34.02,20.44,66.2,13.87
93,City of San Pedro,75,PH,1586654497,66,14.35,121.02,86.0,8.05
94,Bambous Virieux,40,MU,1586654498,78,-20.34,57.76,78.01,14.99
95,Fairbanks,1,US,1586654499,41,64.84,-147.72,46.4,5.82
96,Lethem,91,GY,1586654501,55,3.38,-59.8,84.0,9.71
97,Esperance,100,AU,1586654411,35,-33.87,121.9,84.2,19.46
98,Kibi,98,GH,1586654504,85,6.16,-0.55,75.22,2.8
99,Saldanha,100,ZA,1586654272,93,-33.01,17.94,60.8,12.75
100,Mount Isa,1,AU,1586654506,13,-20.73,139.5,84.2,11.41
101,Banjar,20,ID,1586654508,79,-8.19,114.97,84.2,5.82
102,Henties Bay,3,NA,1586654466,89,-22.12,14.28,63.0,5.93
103,Los Alamos,75,US,1586654510,11,35.89,-106.31,61.0,13.87
104,San Cristobal,75,VE,1586654404,61,7.77,-72.22,70.25,1.14
105,Broken Hill,1,AU,1586654514,44,-31.95,141.43,57.2,12.75
106,Lagunillas,82,VE,1586654515,73,10.13,-71.26,84.72,3.38
107,Saint-Philippe,51,RE,1586654516,78,-21.36,55.77,73.4,5.82
108,Agüimes,40,ES,1586654374,68,27.91,-15.45,66.2,17.22
109,Huilong,28,CN,1586654519,68,31.81,121.66,54.0,8.01
110,Ginda,49,IN,1586654520,18,30.69,78.49,53.55,6.6
111,Boffa,56,GN,1586654521,85,10.17,-14.03,78.22,2.21
112,Cape Town,75,ZA,1586654472,93,-33.93,18.42,64.99,20.8
113,Nyurba,99,RU,1586654335,94,63.28,118.33,31.08,9.6
114,Bac Lieu,5,VN,1586654463,69,9.29,105.72,81.86,7.74
115,Talnakh,75,RU,1586654336,93,69.49,88.4,33.8,31.32
116,Hobart,75,AU,1586654527,58,-42.88,147.33,59.0,14.99
117,Kastornoye,22,RU,1586654529,79,51.83,38.13,33.35,12.64
118,Mar del Plata,68,AR,1586654533,82,-38.0,-57.56,62.01,4.7
119,Hofn,65,IS,1586654331,83,64.25,-15.21,34.48,17.74
120,Fortuna,90,US,1586654535,76,40.6,-124.16,55.99,11.41
121,São João da Barra,99,BR,1586654537,90,-21.64,-41.05,71.8,15.43
122,Winona,90,US,1586654538,53,43.97,-91.77,55.4,5.82
123,Chapleau,90,CA,1586654539,48,47.84,-83.4,39.2,8.05
124,Alta Floresta,90,BR,1586654541,88,-9.88,-56.09,73.51,2.3
125,Zhangaözen,77,KZ,1586654542,62,43.3,52.8,43.2,8.23
126,Hualmay,30,PE,1586654311,75,-11.1,-77.61,73.4,5.97
127,Butaritari,85,KI,1586654545,74,3.07,172.79,84.0,10.33
128,Norman Wells,20,CA,1586654546,50,65.28,-126.83,28.4,6.93
129,Beloha,100,MG,1586654547,70,-25.17,45.05,72.75,9.53
130,San Antonio,40,US,1586654400,83,29.42,-98.49,78.01,11.41
131,Voi,100,KE,1586654550,70,-3.39,38.56,72.99,7.2
132,Souillac,40,MU,1586654552,78,-20.52,57.52,78.01,14.99
133,Ribeira Grande,0,PT,1586654311,74,38.52,-28.7,61.5,7.9
134,Yellowknife,40,CA,1586654525,52,62.46,-114.35,19.4,16.11
135,Slave Lake,90,CA,1586654556,58,55.28,-114.77,28.4,9.17
136,Tomatlán,87,MX,1586654557,42,19.93,-105.25,83.17,13.58
137,Beaufort,75,MY,1586654558,88,5.35,115.75,82.4,2.24
138,Morón,26,AR,1586654559,77,-34.65,-58.62,66.99,11.41
139,Vao,31,NC,1586654561,75,-22.67,167.48,76.71,13.94
140,Chapais,90,CA,1586654437,68,49.78,-74.85,28.4,10.29
141,Maragogi,7,BR,1586654307,79,-9.01,-35.22,80.08,7.67
142,Altukhovo,0,RU,1586654564,88,52.67,34.36,30.81,6.93
143,Patti,40,IN,1586654565,88,31.28,74.86,69.8,3.85
144,Kloulklubed,75,PW,1586654567,70,7.04,134.26,87.8,10.29
145,Laguna,1,US,1586654366,72,38.42,-121.42,71.01,12.75
146,Mossendjo,100,CG,1586654569,87,-2.95,12.73,70.3,2.62
147,Lompoc,75,US,1586654570,72,34.64,-120.46,68.0,14.99
148,Tiznit Province,100,MA,1586654572,73,29.58,-9.5,58.46,4.05
149,Beyneu,21,KZ,1586654407,50,45.32,55.2,49.01,3.71
150,Coahuayana Viejo,41,MX,1586654574,52,18.73,-103.68,84.7,5.41
151,Kaitangata,93,NZ,1586654575,84,-46.28,169.85,57.0,1.01
152,Inhambane,29,MZ,1586654577,83,-23.86,35.38,72.19,2.59
153,Cap Malheureux,40,MU,1586654578,78,-19.98,57.61,78.01,14.99
154,Razlog,93,BG,1586654579,68,41.89,23.47,46.99,3.0
155,Coyhaique,99,CL,1586654336,61,-45.58,-72.07,46.4,4.7
156,Grindavik,40,IS,1586654414,79,63.84,-22.43,35.6,11.41
157,Tasiilaq,90,GL,1586654348,62,65.61,-37.64,24.8,8.05
158,Arrondissement de Saint-Denis,70,FR,1586654419,66,48.92,2.33,64.4,2.24
159,Adeje,40,ES,1586654586,72,28.12,-16.73,66.2,8.05
160,San Patricio,40,MX,1586654378,74,19.22,-104.7,82.4,14.67
161,Arlit,13,NE,1586654294,12,18.74,7.39,85.37,11.25
162,Bredasdorp,100,ZA,1586654590,68,-34.53,20.04,66.2,13.87
163,Lata,75,PT,1586654411,93,40.16,-8.33,57.0,3.36
164,Saskylakh,12,RU,1586654593,90,71.92,114.08,1.02,12.59
165,Moratuwa,20,LK,1586654414,100,6.77,79.88,77.0,3.36
166,Minbu,76,MM,1586654595,65,20.18,94.88,79.0,1.86
167,Beira,20,MZ,1586654597,88,-19.84,34.84,69.8,4.7
168,Shimoda,75,JP,1586654460,87,34.67,138.95,57.2,16.11
169,Sakakah,0,SA,1586654310,41,29.97,40.21,59.0,5.88
170,Cherskiy,96,RU,1586654600,96,68.75,161.3,19.17,14.2
171,Santa Helena de Goiás,46,BR,1586654500,68,-17.81,-50.6,69.33,5.57
172,Maniitsoq,87,GL,1586654603,74,65.42,-52.9,38.17,7.52
173,Giohar,23,SO,1586654604,70,2.78,45.5,81.32,5.68
174,Port Lincoln,79,AU,1586654606,60,-34.73,135.87,58.19,8.41
175,Nueva Loja,79,EC,1586654398,86,0.08,-76.88,73.47,0.27
176,Tuatapere,45,NZ,1586654310,55,-46.13,167.68,65.08,8.66
177,Mnogovershinnyy,78,RU,1586654610,83,53.94,139.92,31.35,10.67
178,Zyryanka,2,RU,1586654611,96,65.75,150.85,27.03,15.03
179,Bundaberg,46,AU,1586654612,32,-24.85,152.35,82.4,6.93
180,Candelaria,9,PH,1586654614,72,13.93,121.42,84.99,1.99
181,Ouadda,88,CF,1586654615,69,8.08,22.4,70.65,3.49
182,Mont-Dore,38,NC,1586654616,45,-22.28,166.58,87.8,9.17
183,Kenai,20,US,1586654488,44,60.55,-151.26,42.8,13.87
184,Swan Hill,0,AU,1586654619,57,-35.34,143.55,56.88,9.15
185,Bastrop,1,US,1586654620,72,32.76,-91.87,70.0,5.7
186,Bambanglipuro,76,ID,1586654622,76,-7.95,110.28,79.72,2.19
187,Ishigaki,75,JP,1586654395,82,24.34,124.16,64.4,12.75
188,Vigrestad,75,NO,1586654624,93,58.57,5.7,44.6,5.82
189,Portland,20,US,1586654452,38,45.52,-122.68,62.01,9.17
190,Divnoye,5,RU,1586654627,73,45.91,43.35,38.66,9.53
191,George Town,20,MY,1586654628,79,5.41,100.34,86.0,5.82
192,Tessalit,0,ML,1586654630,13,20.2,1.01,79.02,3.06
193,Örnsköldsvik,100,SE,1586654631,95,63.29,18.72,35.6,12.75
194,Batemans Bay,2,AU,1586654376,49,-35.72,150.18,66.0,5.01
195,Nishihara,75,JP,1586654462,77,26.18,127.76,68.0,25.28
196,Marsh Harbour,62,BS,1586654635,82,26.54,-77.06,73.67,17.58
197,Qian’an,3,CN,1586654636,36,44.99,124.06,52.21,5.53
198,Sur,18,OM,1586654418,69,22.57,59.53,77.77,13.85
199,Praia da Vitória,40,PT,1586654423,82,38.73,-27.07,60.8,11.16
200,Torbay,90,CA,1586654640,74,47.67,-52.73,35.01,24.16
201,Waycross,1,US,1586654642,42,31.21,-82.35,64.99,5.82
202,Umluj,18,SA,1586654643,52,25.02,37.27,68.04,9.95
203,Alice Springs,40,AU,1586654497,12,-23.7,133.88,84.2,5.82
204,Ipixuna,75,BR,1586654645,100,-1.76,-48.8,77.0,2.24
205,Bozeman,90,US,1586654647,92,45.68,-111.04,28.99,6.93
206,Mwene-Ditu,96,CD,1586654648,75,-7.0,23.45,67.32,3.47
207,Christchurch,44,NZ,1586654649,40,-43.53,172.63,72.0,16.11
208,Nome,90,US,1586654651,92,64.5,-165.41,30.2,10.29
209,Khandyga,100,RU,1586654593,96,62.67,135.6,30.61,6.26
210,Severo-Yeniseyskiy,0,RU,1586654653,93,60.37,93.04,23.74,3.8
211,Longyearbyen,20,SJ,1586654655,69,78.22,15.64,-7.6,5.82
212,Hatillo,1,PR,1586654656,82,18.49,-66.83,82.0,4.7
213,Dafeng,53,CN,1586654657,53,23.45,108.59,57.0,10.71
214,Macusani,47,PE,1586654658,15,-14.08,-70.43,36.25,2.21
215,Taree,0,AU,1586654660,37,-31.9,152.47,66.99,8.05
216,Nemuro,75,JP,1586654661,55,43.32,145.57,35.6,2.24
217,Izmaylovo,100,RU,1586654662,78,53.72,47.25,38.95,10.6
218,Coquimbo,99,CL,1586654462,87,-29.95,-71.34,59.0,5.82
219,Hong Kong,20,HK,1586654665,52,22.29,114.16,69.01,13.87
220,Havelock,1,US,1586654404,58,34.88,-76.9,60.8,4.7
221,Tabou,63,CI,1586654667,84,4.42,-7.35,79.23,1.7
222,Upington,5,ZA,1586654669,36,-28.45,21.26,62.6,5.82
223,Dikson,100,RU,1586654670,96,73.51,80.55,14.0,14.5
224,Mount Gambier,90,AU,1586654459,58,-37.83,140.77,57.2,6.93
225,Cabo San Lucas,40,MX,1586654673,60,22.89,-109.91,72.0,14.99
226,Lüderitz,0,NA,1586654674,87,-26.65,15.16,57.2,3.36
227,Mount Hagen,40,PG,1586654675,73,-5.86,144.23,71.6,4.7
228,Pershotravneve,0,UA,1586654677,79,51.39,28.87,32.7,0.4
229,Bud,40,US,1586654678,35,39.45,-86.18,57.99,8.05
230,Daru,90,PG,1586654679,74,-9.08,143.21,83.8,10.2
231,Bukama,86,CD,1586654680,75,-9.2,25.85,69.6,2.08
232,Ponta do Sol,40,PT,1586654682,67,32.67,-17.1,62.6,12.75
233,Carnarvon,6,AU,1586654683,61,-24.87,113.63,82.4,18.34
234,Rocha,59,UY,1586654684,83,-34.48,-54.33,58.44,5.41
235,Pevek,54,RU,1586654686,91,69.7,170.31,9.86,14.79
236,Tilichiki,3,RU,1586654687,90,60.47,166.1,14.04,5.12
237,Aklavik,5,CA,1586654688,49,68.22,-135.01,23.0,6.93
238,Sambava,10,MG,1586654689,83,-14.27,50.17,75.0,9.51
239,Kristiansund,100,NO,1586654691,75,63.11,7.73,46.4,24.16
240,Naze,75,JP,1586654608,83,28.37,129.48,69.8,16.11
241,Burley,1,US,1586654694,26,42.54,-113.79,57.2,24.16
242,Mahébourg,40,MU,1586654695,78,-20.41,57.7,78.01,14.99
243,Oranjestad,20,AW,1586654696,78,12.52,-70.03,80.6,24.16
244,Ormara,22,PK,1586654697,72,25.21,64.64,76.14,3.94
245,Ketchikan,1,US,1586654437,29,55.34,-131.65,51.8,18.34
246,Kabalo,97,CD,1586654700,81,-6.05,26.92,69.76,3.78
247,Wewak,95,PG,1586654702,77,-3.55,143.63,83.12,2.37
248,San Felipe,45,VE,1586654703,72,10.34,-68.74,76.87,4.52
249,Hīt,28,IQ,1586654705,40,33.64,42.83,66.29,7.09
250,Honningsvåg,92,NO,1586654706,92,70.98,25.97,30.7,11.14
251,Sri Aman,75,MY,1586654441,94,1.24,111.46,78.8,2.24
252,Sobolevo,0,RU,1586654709,83,54.43,31.9,31.84,6.51
253,Chimbote,14,PE,1586654427,74,-9.09,-78.58,74.25,8.72
254,Āsosa,93,ET,1586654712,44,10.07,34.53,70.81,1.43
255,Bilma,100,NE,1586654476,16,18.69,12.92,77.27,4.88
256,Xai-Xai,0,MZ,1586654714,91,-25.05,33.64,68.11,6.46
257,Vestavia Hills,1,US,1586654716,34,33.45,-86.79,64.4,5.82
258,Dvorichna,78,UA,1586654717,74,49.85,37.69,37.0,11.41
259,Caravelas,38,BR,1586654718,86,-17.71,-39.25,78.42,7.36
260,Labuhan,33,ID,1586654720,80,-6.88,112.21,79.61,4.43
261,Khanpur,77,PK,1586654721,27,28.65,70.66,83.48,4.63
262,Pichayevo,99,RU,1586654436,82,53.24,42.2,34.41,13.91
263,Klaksvík,100,FO,1586654724,80,62.23,-6.59,39.2,24.16
264,Kamenka,80,RU,1586654725,86,51.32,42.77,32.0,1.01
265,Vila Franca do Campo,20,PT,1586654726,76,37.72,-25.43,57.2,13.87
266,Rāmpura,84,IN,1586654728,36,30.25,75.23,73.8,4.94
267,Zhigansk,97,RU,1586654731,97,66.77,123.37,26.53,15.08
268,Port Augusta,3,AU,1586654732,63,-32.5,137.77,60.8,8.05
269,Saint-Pierre,59,RE,1586654733,78,-21.34,55.48,73.4,5.82
270,Iqaluit,90,CA,1586654734,68,63.75,-68.51,24.8,6.93
271,Chui,12,UY,1586654736,76,-33.7,-53.46,62.17,6.55
272,Pacific Grove,90,US,1586654737,76,36.62,-121.92,64.0,6.93
273,Santa Isabel Rio Negro,100,BR,1586654738,97,-0.41,-65.02,73.49,1.7
274,Viedma,78,AR,1586654740,49,-40.81,-63.0,55.27,5.93
275,Geraldton,40,AU,1586654741,83,-28.77,114.6,77.0,8.05
276,Hobyo,10,SO,1586654742,74,5.35,48.53,82.09,10.85
277,Kokopo,78,PG,1586654580,70,-4.35,152.26,84.85,5.53
278,Nuevo Progreso,78,MX,1586654745,70,23.17,-97.95,81.0,3.0
279,Okhotsk,33,RU,1586654746,92,59.38,143.3,29.44,2.59
280,Hamilton,20,US,1586654519,37,39.18,-84.53,57.2,6.93
281,Harlingen,1,US,1586654452,69,26.19,-97.7,82.4,12.71
282,Richards Bay,56,ZA,1586654750,82,-28.78,32.04,71.15,13.78
