,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
283,Hirara,75,JP,1586654751,72,24.8,125.28,66.2,17.22
284,Sept-Îles,20,CA,1586654752,47,50.2,-66.38,36.0,8.05
285,Araouane,0,ML,1586654754,13,18.9,-3.53,82.85,3.04
286,Kabo,100,CF,1586654755,71,7.7,18.63,73.58,4.43
287,Colquechaca,0,BO,1586654756,15,-18.67,-66.02,36.86,0.85
288,Pelym,99,RU,1586654757,92,61.01,62.0,33.78,3.42
289,Padang,85,ID,1586654759,74,-0.95,100.35,80.42,4.76
290,Antofagasta,90,CL,1586654558,72,-23.65,-70.4,66.2,6.93
291,Kibakwe,90,TZ,1586654762,69,-6.72,36.37,64.47,3.85
292,Auki,98,SB,1586654763,72,-8.77,160.7,83.57,0.74
293,Bon Accord,20,CA,1586654765,42,53.83,-113.42,30.2,6.93
294,Airai,97,TL,1586654766,69,-8.93,125.41,65.61,2.35
295,Yerofey Pavlovich,0,RU,1586654767,54,53.97,121.97,42.49,1.72
296,Lavrentiya,96,RU,1586654768,97,65.58,-171.0,32.22,11.36
297,Aksha,0,RU,1586654770,31,50.28,113.29,49.57,3.31
298,Lāharpur,0,IN,1586654771,25,27.72,80.9,75.63,3.24
299,Clyde River,40,CA,1586654773,91,70.47,-68.59,1.4,16.11
300,Berlevåg,67,NO,1586654774,93,70.86,29.09,25.02,7.78
301,Olafsvik,58,IS,1586654775,84,64.89,-23.71,35.1,28.63
302,Honiara,75,SB,1586654777,70,-9.43,159.95,87.8,6.93
303,Skibbereen,40,IE,1586654778,65,51.55,-9.27,46.4,2.24
304,Nanortalik,100,GL,1586654780,76,60.14,-45.24,36.68,32.61
305,Zykovo,0,RU,1586654781,83,55.95,93.15,32.0,4.94
306,Mossamedes,12,AO,1586654783,63,-15.2,12.15,77.14,4.25
307,Teknāf,6,BD,1586654784,79,20.86,92.31,74.12,3.47
308,Morristown,90,US,1586654785,28,36.21,-83.29,61.0,3.36
309,Arman',85,RU,1586654787,92,59.7,150.17,23.63,4.05
310,Caucayá,30,CO,1586654788,89,-0.19,-74.78,74.84,1.19
311,Tambun,20,ID,1586654789,79,-6.26,107.07,86.0,5.17
312,Dondo,20,MZ,1586654790,88,-19.61,34.74,69.8,4.7
313,Nurota,100,UZ,1586654792,82,40.56,65.69,60.8,9.17
314,Seymchan,87,RU,1586654793,92,62.88,152.43,25.11,3.06
315,Kovdor,66,RU,1586654796,94,67.57,30.48,20.14,5.28
316,Omboué,100,GA,1586654507,91,-1.57,9.26,76.73,10.78
317,Limulunga,86,ZM,1586654799,67,-15.1,23.14,65.16,3.89
318,Dakar,1,SN,1586654524,88,14.69,-17.44,75.2,4.7
319,Oga,9,IT,1586654801,92,46.46,10.35,52.0,1.12
320,Nikolayevskaya,20,RU,1586654802,76,47.61,41.5,37.69,7.76
321,Thompson,90,CA,1586654767,72,55.74,-97.86,17.6,14.99
322,Griffith,90,US,1586654541,38,41.53,-87.42,60.8,17.22
323,Provideniya,100,RU,1586654807,93,64.38,-173.3,32.56,5.99
324,Kununurra,84,AU,1586654808,58,-15.77,128.73,86.0,8.05
325,Taltal,21,CL,1586654810,76,-25.4,-70.48,63.19,4.41
326,Constitución,73,CL,1586654811,80,-35.33,-72.42,53.71,12.62
327,Santa Vitória do Palmar,14,BR,1586654813,75,-33.52,-53.37,62.37,6.96
328,Grand Gaube,40,MU,1586654784,78,-20.01,57.66,78.01,14.99
329,Nueva Granada,80,CO,1586654815,61,9.8,-74.39,85.59,6.29
330,Porbandar,42,IN,1586654817,63,21.64,69.61,79.77,12.91
331,Buala,91,SB,1586654705,73,-8.14,159.59,83.97,5.44
332,Miles City,90,US,1586654819,92,46.41,-105.84,28.99,8.05
333,Chotila,51,IN,1586654821,55,22.42,71.18,84.99,9.06
334,Port Hardy,20,CA,1586654823,39,50.7,-127.42,55.4,11.41
335,Chokurdakh,100,RU,1586654824,98,70.63,147.92,28.33,12.84
336,Nouakchott,0,MR,1586654826,53,18.09,-15.98,74.95,17.72
337,Black River,20,JM,1586654827,78,18.03,-77.85,82.4,4.7
338,Cururupu,100,BR,1586654829,91,-1.83,-44.87,78.57,4.63
339,Baykit,46,RU,1586654830,94,61.67,96.37,26.42,3.38
340,Verāval,11,IN,1586654643,58,20.9,70.37,79.36,11.54
341,Kidal,16,ML,1586654833,18,18.44,1.41,87.08,6.98
342,Tezu,8,IN,1586654834,32,27.92,96.17,70.93,3.38
343,Rawson,0,AR,1586654732,38,-43.3,-65.1,55.98,5.28
344,Srbac,1,BA,1586654837,87,45.1,17.52,44.6,2.24
345,Healdsburg,75,US,1586654838,82,38.61,-122.87,66.0,9.17
346,Were Īlu,22,ET,1586654839,36,10.6,39.43,52.23,3.36
347,Lang Son,82,VN,1586654840,64,21.83,106.73,59.99,12.88
348,Kapoeta,100,SS,1586654842,33,4.77,33.59,84.36,10.85
349,Spišská Nová Ves,36,SK,1586654843,74,48.94,20.56,44.01,4.7
350,Tahlequah,90,US,1586654844,77,35.92,-94.97,63.0,9.17
351,Cockburn Town,0,TC,1586654845,77,21.46,-71.14,79.61,13.73
352,Seydi,100,TM,1586654847,78,39.48,62.91,63.82,11.52
353,Lorengau,44,PG,1586654848,68,-2.02,147.27,85.15,3.06
354,Balaipungut,75,ID,1586654849,94,1.05,101.28,78.8,5.82
355,Ust-Tsilma,81,RU,1586654850,95,65.44,52.15,17.37,2.93
356,Kalmunai,4,LK,1586654852,80,7.42,81.82,80.94,4.63
357,Umeå,100,SE,1586654853,86,63.83,20.26,33.8,13.87
358,Pangody,100,RU,1586654854,95,65.85,74.49,16.88,6.96
359,Kimbe,8,PG,1586654856,61,-5.55,150.14,88.93,2.33
360,Mokhsogollokh,97,RU,1586654859,91,61.47,128.92,34.34,7.83
361,Erenhot,0,CN,1586654861,33,43.65,111.98,42.28,6.87
362,Korla,65,CN,1586654863,49,41.76,86.15,57.0,3.0
363,Bariloche,0,AR,1586654864,64,-41.15,-71.31,39.2,5.82
364,Lloró,89,CO,1586654865,87,5.5,-76.55,77.11,1.32
365,Ballina,40,AU,1586654867,53,-28.87,153.57,73.4,17.22
366,Chupa,31,RU,1586654868,95,66.27,33.05,21.11,6.2
367,Teya,0,RU,1586654869,94,60.38,92.63,25.86,3.42
368,Whitehorse,5,CA,1586654735,25,60.72,-135.05,41.0,0.89
369,Vostok,23,RU,1586654872,51,46.49,135.88,37.56,4.47
370,Nioki,77,CD,1586654874,85,-2.72,17.68,74.62,2.15
371,Gisborne,1,NZ,1586654875,42,-38.65,178.0,73.0,8.01
372,Kirove,17,UA,1586654876,68,47.65,35.7,39.72,10.56
373,Russell,1,US,1586654877,67,32.35,-85.2,66.2,4.7
374,College,75,US,1586654879,26,64.86,-147.8,46.4,3.2
375,San Quintín,10,MX,1586654880,73,30.48,-115.95,61.56,18.84
376,Northam,0,GB,1586654882,88,51.03,-4.22,52.0,1.99
377,Waterloo,1,CA,1586654795,60,43.47,-80.52,43.0,8.05
378,Varkala,20,IN,1586654884,83,8.73,76.71,80.6,3.36
379,Mandalgovi,0,MN,1586654885,32,45.76,106.27,39.33,13.82
380,Klyuchi,9,RU,1586654887,75,52.27,79.17,36.61,5.88
381,Palana,0,RU,1586654888,86,59.12,159.97,18.12,4.36
382,Kroya,22,ID,1586654889,79,-7.63,109.25,80.11,1.72
383,Kichmengskiy Gorodok,100,RU,1586654891,95,59.98,45.79,26.44,5.01
384,Jacareacanga,73,BR,1586654892,89,-6.22,-57.75,74.16,1.5
385,Mayor Pablo Lagerenza,0,PY,1586654893,39,-19.93,-60.77,70.41,3.04
386,Homer,90,US,1586654901,28,59.64,-151.55,44.6,8.05
387,Marzuq,1,YE,1586654837,49,14.4,46.47,71.33,4.16
388,Iquique,90,CL,1586654629,64,-20.22,-70.14,71.6,12.75
389,Qasigiannguit,89,GL,1586654905,73,68.82,-51.19,26.6,14.99
390,Yakovlevskoye,0,RU,1586654907,79,55.44,37.95,30.2,6.71
391,Vestmanna,99,FO,1586654908,80,62.16,-7.17,39.2,24.16
392,Kiryat Gat,7,IL,1586654910,82,31.61,34.76,55.4,3.36
393,Palmer,1,US,1586654826,38,42.16,-72.33,43.0,5.82
394,Bartlesville,90,US,1586654912,68,36.75,-95.98,66.2,17.22
395,Tena,86,EC,1586654914,69,-0.98,-77.82,73.02,1.5
396,Xylaganí,73,GR,1586654916,73,40.98,25.42,52.74,7.49
397,Jingdezhen,0,CN,1586654917,74,29.29,117.21,50.7,4.45
398,Samarai,88,PG,1586654918,57,-10.62,150.67,83.46,4.41
399,Valparaíso,90,CL,1586654800,93,-33.04,-71.63,55.4,6.06
400,Itarema,100,BR,1586654921,85,-2.92,-39.92,79.21,5.08
401,Koindu,85,GN,1586654922,83,8.44,-10.33,73.45,2.06
402,Kosh-Agach,53,RU,1586654924,46,50.0,88.67,28.26,0.96
403,Kyren,100,RU,1586654925,55,51.68,102.14,37.8,4.72
404,Batticaloa,5,LK,1586654733,82,7.71,81.69,79.59,1.74
405,‘Āhuimanu,40,US,1586654927,61,21.44,-157.84,82.4,6.93
406,Barranco,97,PA,1586654929,89,9.52,-82.7,81.0,1.48
407,Wanning,100,CN,1586654930,87,18.8,110.4,75.36,13.89
408,Ordu,62,TR,1586654832,72,40.91,37.68,34.41,4.09
409,Ambilobe,0,MG,1586654932,84,-13.2,49.05,72.12,3.96
410,Arraial do Cabo,100,BR,1586654934,75,-22.97,-42.03,72.82,4.7
411,Ancud,23,CL,1586654935,100,-41.87,-73.82,39.2,4.7
412,Bilibino,94,RU,1586654936,88,68.05,166.44,13.98,3.67
413,Kaohsiung City,75,TW,1586654762,68,22.62,120.31,71.6,17.22
414,Pendleton,90,US,1586654939,19,45.67,-118.79,62.01,17.22
415,Pangnirtung,97,CA,1586654940,87,66.15,-65.71,23.59,5.82
416,Plettenberg Bay,96,ZA,1586654942,57,-34.05,23.37,63.84,4.72
417,Balkanabat,0,TM,1586654943,59,39.51,54.37,53.67,6.31
418,Mangalore,20,IN,1586654944,83,12.87,74.88,80.6,2.75
419,Kindu,100,CD,1586654946,86,-2.95,25.95,71.58,2.26
420,Ise,75,JP,1586654935,58,34.48,136.7,53.6,5.82
421,Shambu,85,ET,1586654948,42,9.57,37.1,56.14,1.79
422,Yangi Marg`ilon,100,UZ,1586654949,76,40.43,71.72,57.2,6.93
423,Adilabad,0,IN,1586654951,20,19.67,78.53,81.75,1.99
424,Puerto Colombia,40,CO,1586654705,83,10.99,-74.95,82.4,12.75
425,Alim,69,PH,1586654953,69,9.56,122.49,81.05,3.8
426,Alofi,98,NU,1586654861,70,-19.06,-169.92,84.2,12.75
427,Zaysan,17,KZ,1586654956,52,47.47,84.87,39.54,1.77
428,Ardakān,40,IR,1586654957,42,32.31,54.02,66.2,2.24
429,Cabedelo,20,BR,1586654959,83,-6.98,-34.83,78.8,4.7
430,Muyezerskiy,0,RU,1586654961,92,63.93,31.65,23.72,3.0
431,Namatanai,97,PG,1586654956,72,-3.67,152.43,83.79,1.83
432,Channel-Port aux Basques,60,CA,1586654963,96,47.57,-59.14,31.84,18.19
433,Moerai,18,PF,1586654965,76,-22.43,-151.33,82.36,4.47
434,Prince Rupert,1,CA,1586654966,37,54.32,-130.32,50.0,14.99
435,East London,83,ZA,1586654967,59,-33.02,27.91,75.31,2.73
436,Margate,35,GB,1586654968,87,51.38,1.39,57.0,3.36
437,Lagoa,0,PT,1586654970,77,39.05,-27.98,61.14,10.92
438,Pisco,75,PE,1586654971,78,-13.7,-76.22,73.99,8.05
439,Maceió,20,BR,1586654972,94,-9.67,-35.74,77.0,4.7
440,Aasiaat,93,GL,1586654973,92,68.71,-52.87,24.28,5.73
441,Acaraú,100,BR,1586654975,87,-2.89,-40.12,78.62,4.34
442,Faya,38,SA,1586654976,67,18.39,42.45,64.4,4.18
443,Rivera,2,UY,1586654978,73,-30.91,-55.55,58.87,5.32
444,Ahipara,93,NZ,1586654979,73,-35.17,173.17,68.54,16.31
445,Kintampo,71,GH,1586654980,68,8.06,-1.73,79.66,3.44
446,Barkhan,80,PK,1586654983,32,29.9,69.53,69.67,3.83
447,Narsaq,100,GL,1586654984,36,60.92,-46.05,46.4,39.15
448,Nālūt,0,LY,1586654985,28,30.33,10.85,64.71,17.38
449,Xique-Xique,81,BR,1586654810,77,-10.82,-42.73,75.47,6.58
450,Amazar,0,RU,1586654988,50,53.86,120.88,44.24,1.86
451,Sibolga,96,ID,1586654989,77,1.74,98.78,79.02,3.29
452,Yulara,97,AU,1586654991,20,-25.24,130.99,84.2,5.82
453,Wagga Wagga,0,AU,1586654992,58,-35.12,147.37,57.2,5.82
454,Waingapu,52,ID,1586654994,74,-9.66,120.26,80.58,4.45
455,Mbandaka,100,CD,1586654995,89,0.05,18.26,72.28,4.7
456,Eureka,1,US,1586654751,71,40.8,-124.16,55.99,16.11
457,Helena,90,US,1586654872,63,46.59,-112.04,28.4,18.34
458,Batagay-Alyta,90,RU,1586654999,87,67.8,130.41,25.52,4.29
459,Ubari,0,LY,1586654854,22,26.59,12.78,69.24,10.33
460,Mackay,0,AU,1586655002,62,-21.15,149.2,88.0,9.17
461,Zyryanskoye,0,RU,1586655003,68,56.83,86.63,40.03,6.06
462,Pechora,100,RU,1586655004,95,65.15,57.22,17.28,2.26
463,Seydişehir,0,TR,1586655005,44,37.42,31.85,40.64,4.03
464,Baghlan,97,AF,1586655007,33,36.13,68.71,73.71,5.39
465,Kondinskoye,40,RU,1586655008,85,59.65,67.41,36.97,5.75
466,Dalvik,90,IS,1586655009,93,65.97,-18.53,32.0,24.16
467,Xichang,77,CN,1586654778,40,27.9,102.26,54.07,1.54
468,Paita,97,PE,1586655013,65,-5.09,-81.11,76.71,9.95
469,Chibombo,79,ZM,1586655017,69,-14.66,28.07,59.25,3.38
470,Opuwo,10,NA,1586655019,60,-18.06,13.84,66.52,4.9
471,Atambua,69,ID,1586655021,71,-9.11,124.89,79.93,5.14
472,Beringovskiy,98,RU,1586655022,94,63.05,179.32,14.68,10.31
473,Thinadhoo,0,MV,1586655024,64,0.53,72.93,84.18,5.5
474,Porto San Giorgio,19,IT,1586655025,66,43.18,13.79,55.0,3.36
475,Goderich,19,CA,1586654743,60,43.75,-81.72,48.0,9.1
476,Comodoro Rivadavia,0,AR,1586654979,43,-45.87,-67.5,53.6,16.11
477,Puerto Maldonado,26,PE,1586655029,62,-12.6,-69.18,71.8,0.63
478,Chu,96,KZ,1586655031,44,43.6,73.76,60.76,5.26
479,Vardø,48,NO,1586655032,94,70.37,31.11,26.17,10.33
480,Pastavy,99,BY,1586655034,78,55.12,26.83,33.96,7.58
481,Archidona,75,ES,1586655037,87,37.1,-4.39,59.0,2.24
482,Kirakira,94,SB,1586655038,72,-10.45,161.92,84.15,6.33
483,Pimentel,31,PE,1586655039,79,-6.84,-79.93,72.88,12.84
484,Deltona,40,US,1586654955,69,28.9,-81.26,75.99,10.29
485,Rabo de Peixe,20,PT,1586655042,76,37.8,-25.58,57.2,13.87
486,Walvis Bay,1,NA,1586655043,68,-22.96,14.51,68.0,3.36
487,Venado Tuerto,37,AR,1586655002,70,-33.75,-61.97,59.0,7.23
488,Stokmarknes,100,NO,1586655046,64,68.56,14.91,30.0,4.0
489,Little Current,1,CA,1586655047,74,45.98,-81.92,35.6,6.93
490,Upata,100,VE,1586655049,74,8.01,-62.4,72.75,8.55
491,Portobelo,20,PA,1586655050,66,9.55,-79.65,84.2,9.17
492,Tazovsky,100,RU,1586654790,95,67.47,78.7,14.29,12.06
493,Pimenta Bueno,69,BR,1586655006,89,-11.67,-61.19,73.49,1.14
494,Esso,100,RU,1586655054,85,55.93,158.7,25.72,4.52
495,São Filipe,90,CV,1586654962,75,14.9,-24.5,74.95,10.78
496,Dunedin,100,NZ,1586655057,76,-45.87,170.5,60.01,1.99
497,Grand-Lahou,72,CI,1586655058,83,5.14,-5.02,80.47,7.34
498,Hambantota,16,LK,1586655063,74,6.12,81.12,83.28,9.6
499,Kamaishi,40,JP,1586655065,61,39.27,141.88,50.0,3.36
500,Marsabit,49,KE,1586655066,64,2.33,37.99,66.79,16.42
501,General Roca,70,AR,1586655067,71,-39.03,-67.58,53.6,11.32
502,Mwinilunga,93,ZM,1586655070,66,-11.74,24.43,60.67,4.12
503,Harper,13,LR,1586655071,84,4.38,-7.72,78.6,0.63
504,Curuçá,100,BR,1586655074,86,-0.73,-47.85,79.38,6.13
505,Puerto del Rosario,24,ES,1586655075,72,28.5,-13.86,64.4,11.41
506,Canyon Lake,40,US,1586655076,88,29.88,-98.26,75.99,12.75
507,San Miguel,59,SV,1586654967,51,13.48,-88.18,87.31,5.7
508,Mamakan,100,RU,1586655079,60,57.82,114.0,39.97,6.44
509,Emerald,0,AU,1586655082,20,-23.53,148.17,86.0,13.87
510,Montes Claros,2,BR,1586655084,74,-16.73,-43.86,69.28,2.37
511,Celestún,0,MX,1586655085,80,20.87,-90.4,80.17,14.14
512,Casa Nova,94,BR,1586655088,72,-9.42,-41.13,76.87,3.02
513,Marsaxlokk,0,MT,1586655089,66,35.84,14.54,55.0,5.82
514,Birin,23,NP,1586655090,20,26.89,88.07,71.8,2.93
515,Krasnosel'kup,100,RU,1586655092,99,65.7,82.47,35.58,15.3
516,Abū Zabad,83,SD,1586655094,15,12.35,29.25,75.94,15.55
517,Montepuez,89,MZ,1586655095,85,-13.13,39.0,64.47,5.66
518,Luau,72,AO,1586655097,71,-10.71,22.22,62.96,3.89
519,Bathsheba,75,BB,1586655099,69,13.22,-59.52,80.6,16.11
520,Kushima,75,JP,1586655100,87,31.46,131.23,55.4,6.93
521,Broome,1,US,1586655101,47,42.25,-75.83,37.99,8.05
522,Labuan,75,MY,1586654898,88,5.28,115.24,82.4,2.24
523,Lourinhã,20,PT,1586655104,87,39.23,-9.32,57.2,9.17
524,Laas,5,IT,1586654828,80,46.62,10.7,52.0,5.82
525,Aksarka,33,RU,1586655107,92,66.56,67.8,14.94,5.97
526,Katunino,20,RU,1586655110,92,64.39,40.63,17.6,2.73
527,São Félix do Xingu,97,BR,1586655111,91,-6.64,-51.99,74.01,0.49
528,Rio Grande,0,BR,1586655049,94,-32.03,-52.1,55.99,7.58
529,Sinnamary,100,GF,1586655115,79,5.38,-52.95,78.96,13.06
530,Riyadh,40,SA,1586654837,27,24.69,46.72,73.4,6.93
531,Binzhou,0,CN,1586654861,38,37.37,118.02,55.13,11.68
532,Dudinka,75,RU,1586655118,94,69.41,86.18,33.8,33.55
533,Ust'-Karsk,0,RU,1586655120,24,52.7,118.81,62.55,6.08
534,Faanui,8,PF,1586655031,73,-16.48,-151.75,82.62,13.2
535,Kahului,1,US,1586655122,58,20.89,-156.47,82.4,14.99
536,Kanniyākumāri,1,IN,1586655005,74,8.08,77.57,84.02,13.35
537,Sanghar,3,PK,1586655125,69,26.05,68.95,73.4,11.56
538,Anadyr,75,RU,1586655126,78,64.75,177.48,8.6,13.42
539,Pochutla,72,MX,1586654960,75,15.74,-96.47,81.0,8.34
540,Toora-Khem,49,RU,1586655129,49,52.47,96.11,40.73,4.09
541,Cayenne,20,GF,1586655003,74,4.93,-52.33,80.6,5.82
542,Imeni Babushkina,0,RU,1586655131,91,59.76,43.13,25.66,4.79
543,Kamyshlov,93,RU,1586655133,79,56.84,62.71,41.11,5.26
544,Kenora,75,CA,1586655134,63,49.82,-94.43,30.2,9.17
545,Eldoret,37,KE,1586655136,49,0.52,35.27,55.6,1.7
546,Le Port,24,RE,1586655137,88,-20.94,55.29,73.4,11.41
547,Caçador,8,BR,1586654923,64,-26.78,-51.02,53.06,2.15
548,Wagar,14,SD,1586655140,63,16.15,36.2,65.48,10.87
549,Abalak,0,RU,1586655141,82,58.13,68.59,40.84,4.21
550,Băcani,5,RO,1586655142,64,46.33,27.67,37.4,3.36
551,Muros,90,ES,1586655019,93,42.78,-9.06,55.0,3.36
552,Sīrjān,100,IR,1586655145,29,29.45,55.68,61.7,7.25
553,Hasaki,75,JP,1586655062,76,35.73,140.83,57.0,11.41
554,Kysyl-Syr,100,RU,1586655148,91,63.9,122.76,32.63,12.55
555,Leyva Solano,40,MX,1586655149,43,25.67,-108.64,69.8,16.11
556,Jennings,90,US,1586655151,54,38.72,-90.26,62.01,6.93
557,Westport,1,US,1586654871,31,41.14,-73.36,53.01,5.82
558,Palu,0,ID,1586655154,41,-0.89,119.87,89.96,3.02
559,Tūkrah,28,LY,1586655155,72,32.53,20.58,55.87,6.42
560,Värnamo,92,SE,1586655156,87,57.19,14.04,43.0,10.29
561,Brighton,34,GB,1586655158,76,50.83,-0.14,55.99,1.12
562,Paamiut,100,GL,1586655159,89,61.99,-49.67,36.03,7.29
563,Asău,14,RO,1586655160,64,46.43,26.4,39.0,3.36
564,Natchez,1,US,1586654864,64,31.56,-91.4,69.8,5.82
565,Vestmannaeyjar,100,IS,1586654903,84,63.44,-20.27,43.2,8.34
566,Tocopilla,39,CL,1586655164,50,-22.09,-70.2,67.39,3.47
567,Puro,1,PH,1586655165,58,12.48,123.38,85.48,4.36
568,Zhezkazgan,100,KZ,1586655167,42,47.8,67.71,49.33,6.17
